id;meet_date;agenda;comments;amount;quantity;status;flag
1;2021-12-28;Street Account;../fake-data/blob/hipster.txt;63078;86547;Berkshire Berkshire;false
2;2021-12-29;Cape Mauritania;../fake-data/blob/hipster.txt;69315;94261;Direct;false
3;2021-12-28;end-to-end Facilitator Cotton;../fake-data/blob/hipster.txt;64625;92225;Account;false
4;2021-12-28;Mandatory Investment;../fake-data/blob/hipster.txt;397;90024;withdrawal leading-edge;true
5;2021-12-29;Nebraska Focused;../fake-data/blob/hipster.txt;34457;52001;Hat scalable of;false
6;2021-12-28;Luxembourg;../fake-data/blob/hipster.txt;99559;74296;Practical calculate;false
7;2021-12-28;CSS;../fake-data/blob/hipster.txt;13603;35000;Som Reactive deposit;false
8;2021-12-28;SAS;../fake-data/blob/hipster.txt;10123;91767;Cambridgeshire generating definition;true
9;2021-12-29;Sausages;../fake-data/blob/hipster.txt;42288;21159;matrices plum;true
10;2021-12-28;Operations Rupee RAM;../fake-data/blob/hipster.txt;48329;71544;Exclusive Baby hard;false
